code;label;Reference client;code client;date de validité;Commentaire
DEVIS-1;Super devis 1;Chantier 1;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-2;Super devis 2;Chantier 2;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-3;Super devis 3;Chantier 3;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-4;Super devis 4;Chantier 4;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-5;Super devis 5;Chantier 5;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-6;Super devis 6;Chantier 6;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-7;Super devis 7;Chantier 7;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-8;Super devis 8;Chantier 8;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-9;Super devis 9;Chantier 9;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-10;Super devis 10;Chantier 10;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-11;Super devis 11;Chantier 11;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-12;Super devis 12;Chantier 12;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-13;Super devis 13;Chantier 13;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-14;Super devis 14;Chantier 14;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-15;Super devis 15;Chantier 15;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-16;Super devis 16;Chantier 16;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-17;Super devis 17;Chantier 17;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
DEVIS-18;Super devis 18;Chantier 18;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
